title,code,credits,department,instructor,description
Principles of Accounting, ACC 101,3, Accounting, Prof. White,"""An introduction to the principles and practices of accounting,  including financial statements,  budgets,  and cost analysis."""
Financial Accounting, ACC 201,3, Accounting, Prof. White,"""An introduction to the principles and techniques of financial accounting,  including the preparation and analysis of financial statements."""
Managerial Accounting, ACC 301,3, Accounting, Prof. White,"""An in-depth study of the principles and practices of managerial accounting,  including cost accounting,  budgeting,  and decision making."""
Financial Accounting, ACC 401,3, Accounting, Prof. White,"""An in-depth study of financial accounting principles and practices,  including financial statement analysis,  cash flow,  and financial ratios."""
Introduction to Anthropology, ANT 101,3, Anthropology, Prof. Johnson,""" An introduction to the study of human societies and cultures,  including social organization,  language,  religion,  and globalization."""
Cultural Anthropology, ANT 201,3, Anthropology, Prof. Johnson,"""An exploration of the cultural diversity and complexity of human societies,  including ethnographic methods and theories."""
Art History I, ART 101,3, Art, Prof. Brown,"""An overview of the major artistic movements and styles from ancient times to the present,  including painting,  sculpture,  and architecture."""
Biology I, BIO 101,4, Biology, Dr. Brown,"""An introduction to the principles of biology,  including the chemical basis of life,  cell structure and function,  genetics,  and evolution."""
Human Anatomy and Physiology I, BIO 201,4, Biology, Dr. Anderson,"""An in-depth study of the structure and function of the human body,  including cells,  tissues,  organs,  and systems."""
Business Ethics, BUS 301,3, Business, Prof. Martinez,"""An exploration of ethical issues and dilemmas in the business world,  including corporate responsibility,  sustainability,  and stakeholder management."""
International Business, BUS 401,3, Business, Prof. Martinez,"""An exploration of the challenges and opportunities of conducting business in global markets,  including cultural,  legal,  and political factors."""
Organic Chemistry I, CHE 301,4, Chemistry, Dr. Anderson,"""An introduction to the properties,  structure,  and reactivity of organic compounds,  including nomenclature,  reaction mechanisms,  and spectroscopy."""
Organic Chemistry I, CHM 201,4, Chemistry, Dr. Brown,"""An in-depth study of the structure,  properties,  and reactions of organic compounds,  including nomenclature,  stereochemistry,  and mechanisms."""
Public Speaking, COM 101,3, Communication, Prof. Garcia,"""An introduction to the principles and techniques of effective public speaking,  including audience analysis,  speech preparation,  and delivery."""
